start,end,base_close,close,pct1,pct2,pct3,ret3,vol_shrink,code,name,score,date,price
2026-09-18,2026-09-22,18.07,17.72,-1.0,-0.73,-0.23,-1.94,32.6,600031,600031,0.4337,2026-09-22,17.72
2026-09-18,2026-09-22,84.58,82.87,-0.53,-0.64,-0.86,-2.02,31.9,688353,688353,0.4248,2026-09-22,82.87
2026-09-18,2026-09-22,45.92,44.79,-0.35,-0.92,-1.21,-2.46,35.9,603418,603418,0.4155,2026-09-22,44.79
2026-09-18,2026-09-22,4.36,4.19,-1.15,-1.39,-1.41,-3.9,53.9,000572,000572,0.4095,2026-09-22,4.19
2026-09-18,2026-09-22,265.0,254.95,-0.59,-2.21,-1.03,-3.79,50.6,688120,688120,0.4003,2026-09-22,254.95
2026-09-18,2026-09-22,3.01,2.88,-0.33,-1.67,-2.37,-4.32,55.8,000981,000981,0.391,2026-09-22,2.88
2026-09-18,2026-09-22,20.36,19.65,-0.25,-2.26,-1.01,-3.49,44.3,300443,300443,0.3888,2026-09-22,19.65
2026-09-18,2026-09-22,32.54,31.3,-2.37,-0.13,-1.36,-3.81,48.2,002796,002796,0.387,2026-09-22,31.3
2026-09-18,2026-09-22,29.39,28.61,-1.84,-0.52,-0.31,-2.65,32.4,300850,300850,0.3853,2026-09-22,28.61
2026-09-18,2026-09-22,20.57,19.87,-0.53,-0.78,-2.12,-3.4,36.7,600667,600667,0.3568,2026-09-22,19.87
2026-09-18,2026-09-22,4.95,4.86,-1.21,-0.2,-0.41,-1.82,10.5,600582,600582,0.3312,2026-09-22,4.86
2026-09-18,2026-09-22,24.74,23.87,-0.93,-0.45,-2.17,-3.52,33.1,300690,300690,0.3308,2026-09-22,23.87
2026-09-18,2026-09-22,17.13,16.36,-3.56,-0.73,-0.24,-4.5,45.5,688132,688132,0.3275,2026-09-22,16.36
2026-09-18,2026-09-22,8.23,7.8,-2.31,-0.62,-2.38,-5.22,53.0,002339,002339,0.317,2026-09-22,7.8
2026-09-18,2026-09-22,17.34,16.5,-3.75,-0.6,-0.54,-4.84,47.1,000550,000550,0.3128,2026-09-22,16.5
2026-09-18,2026-09-22,71.36,68.5,-0.36,-1.45,-2.24,-4.01,27.6,301071,301071,0.2707,2026-09-22,68.5
2026-09-18,2026-09-22,5.77,5.47,-0.52,-2.26,-2.5,-5.2,36.7,600802,600802,0.2368,2026-09-22,5.47
2026-09-18,2026-09-22,20.71,19.64,-0.97,-3.66,-0.61,-5.17,28.7,300196,300196,0.1988,2026-09-22,19.64
2026-09-18,2026-09-22,71.37,67.66,-1.47,-2.01,-1.81,-5.2,26.0,688170,688170,0.1833,2026-09-22,67.66
2026-09-18,2026-09-22,38.26,36.3,-1.41,-1.8,-2.0,-5.12,17.5,300499,300499,0.1462,2026-09-22,36.3
